unique_id,fchild,fadult,felderly,vchild,vadult,velderly,rchild,radult,relderly,pchild,padult,pelderly,n,nelderly,omega,CDRscale,CDRscaleE,uiscaleC,uiscaleA,uiscaleE,DS_neta,DR_ts,x,e,xi_init,nt_dst_prob,pt_dst_prob,ntii_emp_tx_p,ptii_emp_tx_p,ntin_emp_tx_p,ptin_emp_tx_p
a41372f74f6abbd6d472ea947edbb8e0,0.115450822330036,0.740147874590965,0.570396478672642,0.000231972073101,0.000274208295499,0.004250440225083,0.011148034885992,0.013898783692624,0.011004489248936,0.018303971591241,0.157002874558039,0.3189014015558,0.1757424328726,0.160381522020652,0.010320961287366,0.980930644855107,0.518981268044659,-0.93778756761686,-0.984327566757458,-0.947179602978427,0.446490865357686,0.784419692838564,0.251647777436804,0.715058966217951,0.003211033926618,0.017495817157906,0.075413349221927,0.494707111769821,0.99708683636738,0.470520590983797,0.504923772981856
8fcee15da08c679c4f49e37fe7799190,0.113488919275187,0.741848702969054,0.562079769895728,0.000229706439543,0.000276071716571,0.004247639351213,0.010223496843083,0.01372860734947,0.010036328884578,0.017490498040871,0.156720601063122,0.316432372563967,0.176179787376848,0.160943391961722,0.010325430075812,0.978558470878083,0.514489068912794,-0.92162486736815,-0.979071815747097,-0.958623890864283,0.451506524680648,0.779787296806462,0.251637462020796,0.722219807350465,0.003292202373569,0.029779415391386,0.055333192611579,0.491966532743536,0.976143725309521,0.482705919181462,0.503348986085039
9998910c8af22aa70accf166cfd28527,0.113661412767323,0.742561410737015,0.556540707202385,0.000228974787253,0.000275282172198,0.004142914579754,0.010691413471662,0.013591420441865,0.010558388901726,0.017597323268254,0.156216677288518,0.318733763272764,0.175755305930808,0.160330326097181,0.010402724498917,0.978580101316356,0.48934666110741,-0.94691402778606,-0.975829438263136,-0.963328447226553,0.456532461509109,0.790772549328394,0.251885242545362,0.720767365794086,0.003188083975997,0.018367478228174,0.055591435802635,0.485666623308789,0.992348076989875,0.475838630576618,0.498339656649623
15ec91939f536c76522e5761e9f1730a,0.111296286254728,0.735323070537323,0.551373581391144,0.000227782514133,0.000273198384901,0.003897845301897,0.013130221267324,0.014865802802611,0.010229309167052,0.018680955718689,0.154017969034046,0.319740341917688,0.17714221421671,0.159198957229593,0.010353711436784,0.97383344277285,0.496242799434392,-0.940284354290539,-0.97297902517484,-0.954702103216403,0.462892129051965,0.803339328900911,0.252603740717228,0.722222385825047,0.003217091298648,0.019074867719319,0.067638012971729,0.481948936150875,0.991074293444399,0.47396553696366,0.494862383005675
ad92ce95bd73a57fe44925f55b70aa5a,0.110094300211247,0.742242379410216,0.544294712032135,0.000226443457551,0.000276730667252,0.003672713192604,0.010698726336705,0.013414955933066,0.011002313388037,0.017365354538265,0.156898250095353,0.318532041594276,0.176808823054492,0.161080502500968,0.010394891407045,0.97699432114181,0.511766547410656,-0.941609165780387,-0.983722351141693,-0.972559967073591,0.450068366377149,0.793825670001097,0.252583296888824,0.717044460927525,0.003133159931367,0.023216197381262,0.053429786756169,0.485549153285101,0.999160885417368,0.468347769475076,0.49199666517321
4184b9624f6c01886c3d724bf28d6252,0.117464093397211,0.741414492589446,0.554405044948253,0.000229089714493,0.000272696564224,0.003624102632303,0.01084931281386,0.015214586188876,0.011855323460689,0.017606386132024,0.152873729922336,0.318101028789935,0.180844778768088,0.158110070414936,0.010399222552743,0.977243926967451,0.470437243662137,-0.927908226542767,-0.982989436968044,-0.952582399423352,0.453439158181195,0.798671826967038,0.25185096203288,0.71555559073148,0.00318861197647,0.034531859401614,0.054846428395249,0.480526069211774,0.993945099499542,0.471984631426167,0.516672585359774
34d62c15e2cbf3c5ddf2185891b25c99,0.115584214638875,0.742090315805307,0.555665290490109,0.000229501342886,0.000272530461029,0.003819327652903,0.010158042760566,0.013952938371058,0.01114160593086,0.017501440089497,0.157322712469839,0.318274709927087,0.17699945612084,0.160539450869874,0.010401742871946,0.977176343700452,0.493741534634102,-0.950117533518859,-0.985977208289751,-0.950587961931463,0.445394512224943,0.787692097518593,0.25081814535385,0.718932314709218,0.003172096338896,0.026142388330773,0.046977371389512,0.513685028401669,0.984527238095179,0.482884582006372,0.489548878252972
a862a79cd4f5e197394fb220dfdf983b,0.113960542056898,0.748042411241239,0.559622501026037,0.000229068538032,0.000271992015194,0.003979507410504,0.010583637593594,0.014104791786288,0.011920305583245,0.016885366978541,0.157548622583591,0.321143300351111,0.17596569378611,0.159711043899973,0.010355854464874,0.981266557043613,0.471927418841268,-0.94069462765562,-0.9815403098136,-0.951576302467731,0.451285908863414,0.771781892478466,0.252174263511356,0.714808370296301,0.003299797735878,0.015228581842966,0.067036869020667,0.50373847838724,0.998362225845922,0.491291542556137,0.509256494799629
9cbffffc3c7cc297607b02e4612c4a35,0.110528477343454,0.743674837303605,0.559929085357058,0.000228276324564,0.000273205829627,0.003951961294228,0.010321157648275,0.014621657547401,0.010571122331676,0.017803164047024,0.155537343434144,0.315601475221274,0.179132471181055,0.161388220127068,0.010298964545966,0.979680126720964,0.491381573996083,-0.940967747799,-0.985058349530352,-0.954021278085557,0.457636594992131,0.780139502731617,0.252598950339239,0.719948965803177,0.003204943946868,0.030864698411897,0.066246065995656,0.500301046813838,0.978715315645095,0.481926964062732,0.508861372799147
7367fa5ef698cda7a199e67faee93cf8,0.114644181469877,0.74411637291594,0.561341827752757,0.00022999094243,0.000273752574182,0.003992970473474,0.010118533631088,0.014159231220185,0.010889530137265,0.017844393936869,0.15676317339306,0.316028977647686,0.175247822276851,0.160809524455901,0.010373084434159,0.977056363668394,0.485771242473484,-0.967126880935645,-0.977013348287307,-0.949857408016209,0.453073769596871,0.785464459443465,0.253087798684221,0.717907419737817,0.003141796837032,0.035207067837473,0.054070738833398,0.506923716804013,0.977859034736175,0.470136597047094,0.487290649875067
7dc1563f39006866061ad1c021a6c044,0.114836812026871,0.745453564858088,0.55774023435166,0.000230627687978,0.00027754924256,0.003976450083307,0.010398309236858,0.013761806701682,0.01089805497312,0.017101536701385,0.156601613460288,0.316603276550008,0.176507620276602,0.159495781275073,0.010187315730324,0.976171630618082,0.479565738843558,-0.947396876213761,-0.976011556145014,-0.95415448452709,0.450371597917751,0.804907393606845,0.250207918241378,0.719402346499653,0.003146168436443,0.029848170294426,0.050343970009126,0.488363188882358,0.982720803448465,0.482081971988082,0.492092162498739
1036518a8b368c65bdd032fd39c0073f,0.115230918549656,0.742599699618785,0.549884630733672,0.00022495039918,0.000274856934381,0.003845833104041,0.010315947121429,0.015692468406213,0.010283184727831,0.017487374043742,0.153220798552122,0.3132371883774,0.174615191167173,0.15808975589052,0.010427239149673,0.976657648377063,0.54872117030459,-0.941008967569262,-0.983300483785109,-0.961239875604084,0.445653216001578,0.800925449272618,0.252651534497123,0.714984681019948,0.003060284718201,0.020612211630214,0.059976528866683,0.489030770952813,0.987661627901253,0.474435551371425,0.509806388809811
c7f092efa8fac97327220aed862e27ba,0.11295050979669,0.740902549817018,0.552750715033653,0.000227456278479,0.000273797323754,0.004145428418177,0.011230539859785,0.013999938675621,0.010237095920872,0.017537793371661,0.15639554432248,0.321110116110632,0.175493414282285,0.160694839009877,0.010334952898183,0.977928257235693,0.486416880574683,-0.935416512072464,-0.972257765863543,-0.947926253192664,0.462587146380451,0.787791368088219,0.255036134290453,0.71834713895099,0.003162340495929,0.018421713623684,0.057653726181016,0.488136129181366,0.980028508112301,0.481513273997698,0.488208283989225
6f33642bae01969e768b0b2af2acb870,0.114301707111604,0.741269136149693,0.554820387710015,0.000229065466902,0.000277928473273,0.004109797606097,0.010324103058409,0.014621089143585,0.010218422139194,0.017057967390467,0.155799242682748,0.31498485218173,0.176691333776292,0.159014201728372,0.010352940507123,0.977646385901974,0.507027327326601,-0.942518224244924,-0.979545802258598,-0.948601100857441,0.455380511985626,0.786348536598962,0.255609487475213,0.718175118395516,0.003207162050051,0.01566126690479,0.059418817581609,0.489280099708121,0.966589036493097,0.489098615378607,0.506253553710412
72e62ba4c86855b42b6eceeb158b8ee4,0.112067056561543,0.742861943142979,0.563373809181097,0.00022802958316,0.000273290404576,0.004222269184024,0.011083389868913,0.014495120352786,0.010041784194569,0.017347182506181,0.155078515243523,0.318859276133386,0.17423245799851,0.160168481412089,0.010212157619239,0.980647911858139,0.521171281318548,-0.963472185254102,-0.978216718379557,-0.952880737728581,0.460017961360049,0.775767455776222,0.254007758003231,0.719780206238308,0.003179789090539,0.029282953233924,0.063688369370066,0.49104388727108,0.986114038801752,0.484824212237727,0.493047952018678
